Census year,Block ID,CLUE small area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total establishments in block
2017,542,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,543,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,544,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,545,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,546,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,547,Kensington,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
2017,548,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,549,Kensington,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2017,550,Kensington,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2017,551,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,552,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,553,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,554,Kensington,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2017,555,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,556,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,557,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,558,Kensington,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2017,559,Kensington,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,7
2017,560,Kensington,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
2017,561,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,562,Kensington,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2017,563,Kensington,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2017,564,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,565,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,566,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,567,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,568,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,569,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,570,Kensington,1,0,2,19,1,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,28
2017,571,Kensington,0,0,0,2,0,0,0,0,1,8,2,1,1,4,0,2,0,9,1,0,31
2017,601,East Melbourne,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,5
2017,602,East Melbourne,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,603,East Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
2017,604,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,605,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2017,606,East Melbourne,4,1,0,0,3,1,0,0,0,2,5,0,0,2,0,0,0,0,0,0,18
2017,607,East Melbourne,2,1,0,0,9,1,0,1,1,8,12,1,1,4,0,1,0,2,1,0,45
2017,608,East Melbourne,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
2017,609,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,610,East Melbourne,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,611,East Melbourne,0,0,0,2,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,7
2017,612,East Melbourne,2,0,0,0,2,1,0,0,0,1,2,1,0,0,0,1,0,0,0,0,10
2017,613,East Melbourne,6,0,0,1,2,0,0,0,1,5,17,0,0,4,0,2,0,2,0,0,40
2017,614,East Melbourne,2,0,0,0,1,0,0,0,0,1,5,0,0,3,0,0,0,1,0,0,13
2017,615,East Melbourne,0,0,0,0,0,0,0,0,0,2,69,0,0,0,0,0,0,1,0,0,72
2017,616,East Melbourne,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2017,617,East Melbourne,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4
2017,618,East Melbourne,1,0,0,0,4,1,1,0,0,5,5,1,1,0,0,0,0,0,0,0,19
2017,619,East Melbourne,0,3,0,4,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,11
2017,620,East Melbourne,0,0,0,0,1,0,3,0,0,1,38,2,0,2,1,0,0,1,0,0,49
2017,621,East Melbourne,0,1,0,1,7,0,4,0,4,3,15,1,1,6,1,0,0,0,0,2,46
2017,642,East Melbourne,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2017,643,East Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,644,East Melbourne,1,0,0,2,13,0,1,0,1,5,32,0,2,7,3,1,0,0,0,0,68
2017,645,East Melbourne,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,5
2017,646,East Melbourne,2,2,0,2,12,0,1,0,1,2,25,2,0,4,0,0,0,0,0,1,54
2017,649,East Melbourne,0,1,0,2,1,0,0,0,0,1,0,0,0,2,3,0,0,1,0,0,11
2017,650,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
2017,651,East Melbourne,3,0,0,1,1,0,0,0,0,3,4,0,0,4,0,0,0,0,0,0,16
2017,652,East Melbourne,0,0,0,2,0,0,1,0,0,1,0,0,0,1,12,0,0,0,0,0,17
2017,653,East Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2017,654,Melbourne (Remainder),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2017,655,East Melbourne,1,0,0,2,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,10
2017,656,East Melbourne,2,3,0,4,13,2,0,0,5,1,3,0,0,4,0,2,2,0,0,1,42
2017,657,East Melbourne,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
2017,658,East Melbourne,0,1,0,9,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,13
2017,659,Melbourne (Remainder),0,0,0,8,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,15
2017,660,Melbourne (Remainder),0,1,0,11,1,0,0,0,0,3,2,0,0,1,0,1,0,1,1,0,22
2017,661,East Melbourne,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2017,662,East Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
2017,663,Melbourne (Remainder),0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2017,710,Melbourne (Remainder),1,0,0,0,1,0,1,0,0,5,2,0,0,1,0,0,0,4,1,0,16
2017,720,Melbourne (Remainder),0,1,0,2,18,2,3,0,10,11,4,2,7,6,2,2,0,3,0,4,77
2017,724,Melbourne (Remainder),0,4,0,0,6,0,2,0,1,12,3,0,0,1,1,2,0,2,1,0,35
2017,728,Southbank,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2017,729,Southbank,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,3,1,0,0,9
2017,730,Southbank,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,7
2017,731,Southbank,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2017,732,Southbank,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,1,1,0,0,8
2017,733,Southbank,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2017,734,Southbank,1,0,1,0,3,4,0,2,1,0,1,0,0,1,2,1,0,2,0,0,19
2017,735,Southbank,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,2,0,0,0,1,9
2017,736,Southbank,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5
2017,737,Southbank,0,0,0,0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6
2017,738,Southbank,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6
2017,739,Southbank,0,0,0,2,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,7
2017,740,Southbank,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,6
2017,741,Southbank,0,0,0,12,5,0,2,1,1,2,3,0,0,0,0,0,0,2,0,0,28
2017,742,Southbank,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,5
2017,743,Southbank,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,744,Southbank,0,0,0,0,7,1,0,1,0,1,0,0,1,1,0,0,0,0,2,0,14
2017,745,Southbank,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5
2017,746,Southbank,0,2,2,2,15,6,0,1,3,2,3,7,2,2,0,3,0,3,0,8,61
2017,747,Southbank,0,0,0,0,1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,7
2017,748,Southbank,1,4,0,0,8,2,2,1,3,4,1,2,0,1,0,2,0,3,1,1,36
2017,749,Southbank,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
2017,750,Southbank,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,6
2017,751,Southbank,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3
2017,752,Southbank,0,0,0,3,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,15
2017,753,Southbank,2,5,2,1,16,1,0,1,7,35,4,1,3,6,1,3,0,9,4,2,103
2017,759,Melbourne (Remainder),0,3,0,1,12,2,0,1,5,2,0,1,0,5,0,1,0,0,0,2,35
2017,760,Melbourne (Remainder),0,4,0,0,14,4,1,0,9,4,52,0,1,3,4,2,1,2,3,2,106
2017,771,Docklands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,772,Docklands,0,0,0,0,4,2,1,0,2,0,1,3,0,1,0,1,0,1,4,3,23
2017,773,Docklands,0,1,0,2,3,2,0,1,0,6,1,0,1,4,0,6,0,2,1,1,31
2017,774,Port Melbourne,0,0,0,0,0,1,0,0,0,1,0,1,2,0,1,0,0,1,0,0,7
2017,775,Port Melbourne,0,1,0,0,3,5,0,0,0,1,1,1,4,1,1,0,1,1,4,5,29
2017,776,Docklands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2017,777,Port Melbourne,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
